Region, subregion, country or area *,Type,Year,Population Density, as of 1 July (persons per square km)_transformed,Median Age, as of 1 July (years)_transformed,Natural Change, Births minus Deaths (thousands)_transformed,Rate of Natural Change (per 1,000 population)_transformed,Population Change (thousands)_transformed,Population Growth Rate (percentage)_transformed,Population Annual Doubling Time (years)_transformed,Births (thousands)_transformed,Births by women aged 15 to 19 (thousands)_transformed,Crude Birth Rate (births per 1,000 population)_transformed,Total Fertility Rate (live births per woman)_transformed,Net Reproduction Rate (surviving daughters per woman)_transformed,Total Deaths (thousands)_transformed,Male Deaths (thousands)_transformed,Female Deaths (thousands)_transformed,Crude Death Rate (deaths per 1,000 population)_transformed,Life Expectancy at Birth, both sexes (years)_transformed,Male Life Expectancy at Birth (years)_transformed,Female Life Expectancy at Birth (years)_transformed,Life Expectancy at Age 15, both sexes (years)_transformed,Male Life Expectancy at Age 15 (years)_transformed,Female Life Expectancy at Age 15 (years)_transformed,Life Expectancy at Age 65, both sexes (years)_transformed,Male Life Expectancy at Age 65 (years)_transformed,Female Life Expectancy at Age 65 (years)_transformed,Life Expectancy at Age 80, both sexes (years)_transformed,Male Life Expectancy at Age 80 (years)_transformed,Female Life Expectancy at Age 80 (years)_transformed,Infant Deaths, under age 1 (thousands)_transformed,Infant Mortality Rate (infant deaths per 1,000 live births)_transformed,Live Births Surviving to Age 1 (thousands)_transformed,Under-Five Deaths, under age 5 (thousands)_transformed
Libya,Country/Area,2022,1.31277,47.30486,31.099297,43.9683,41.63274,41.947181,65.52993,38.272746,31.092328,33.484202,25.472107,26.45601,41.630665,37.786339,44.303924,27.049861,74.768235,65.622785,72.422282,54.033725,60.548672,63.930773,54.654838,52.777628,53.475933,53.70844,52.498519,55.176977,21.031695,34.467474,30.970575,28.42354,36.082087,29.104836,23.248179,32.918105,30.57715,32.29339,27.466081,25.151291,34.562054,27.642996,30.11475,32.273452,35.167933,50.873587,49.780396
Morocco,Country/Area,2022,27.426275,53.835703,31.840931,44.056599,59.464235,40.961959,70.240654,53.751911,31.470182,33.27247,24.284181,25.185874,55.714657,53.033427,58.164202,26.300156,79.716053,70.709822,76.331734,61.728283,70.740858,70.516474,61.094116,60.358856,60.038572,60.613811,60.206532,60.399877,21.185163,36.262718,45.252811,28.533898,37.379733,27.80682,21.291093,32.245847,25.011168,25.758175,23.067026,18.723433,26.718526,22.62079,20.716264,21.497611,28.394579,49.384135,48.927251
Sudan,Country/Area,2022,8.667227,26.129739,33.555236,69.948948,100,62.595785,26.51345,80.43241,32.981832,57.793233,48.331018,52.168525,63.494326,61.513708,65.7537,29.933035,63.243783,54.856295,61.79174,47.022351,52.849186,56.011916,49.653309,50.643892,44.383399,44.565217,45.442427,45.336926,22.097354,44.111897,69.10235,29.342439,45.417152,40.986782,37.718439,42.515995,40.558684,42.917967,36.911423,34.77904,45.451912,36.385292,38.42618,41.149601,42.369704,50.56004,49.869794
Tunisia,Country/Area,2022,25.976506,61.85946,31.145009,38.176933,42.751309,37.335796,95.188531,40.480384,31.098528,30.859958,21.573866,21.623296,45.911721,42.557364,48.360543,33.617756,78.471209,68.248404,76.705218,59.949208,66.159977,71.16892,59.187315,55.74115,61.048208,57.528772,52.82448,60.1845,21.060535,35.968722,32.999781,28.444466,37.194196,28.431886,22.72021,32.182741,25.767094,27.798265,22.503456,20.241993,30.142904,22.051431,21.951169,24.779713,27.517419,50.79519,49.747285
Western Sahara,Country/Area,2022,0.691861,59.870665,30.94759,41.68638,37.97528,53.783525,35.853011,35.075615,31.076521,31.98044,24.007383,24.225527,38.665931,34.56037,41.405065,28.425649,72.708106,64.951489,69.735139,54.521047,63.877737,62.656501,53.059039,54.803599,48.474169,47.810102,52.536867,46.817645,21.015684,39.426997,27.997969,28.41151,39.982383,31.320641,25.548146,35.001565,31.109174,31.667893,28.408409,23.64371,31.647126,27.240161,28.217646,28.334126,34.401496,51.171493,60.887827
Botswana,Country/Area,2022,1.50143,39.734781,31.025368,52.270127,39.924625,50.458402,41.187594,36.584388,31.131693,42.352231,29.531812,30.328377,39.831012,35.724498,42.662932,30.81035,63.83114,55.307045,62.139355,45.350533,50.118697,54.619874,52.640971,52.723746,47.487742,62.595908,64.041365,60.197961,21.04913,42.617787,29.368227,28.439338,43.449833,38.944986,34.696415,41.443883,43.261076,46.061414,39.175506,38.309538,49.308176,40.02212,44.87345,48.468647,47.189774,51.069577,51.364176
Eswatini,Country/Area,2022,22.613002,34.409349,30.965442,44.686811,37.808473,36.432677,100,35.639069,31.113945,43.288799,29.889343,29.615861,39.524597,35.481452,42.259822,50.693487,47.081849,38.112536,49.528218,23.341765,20.925152,36.843664,36.606506,33.891912,30.718488,36.013427,35.011683,36.964133,21.032482,44.679156,28.50505,28.425798,45.339994,50.645227,49.870434,49.743968,65.990755,72.622752,56.008418,70.023852,87.268248,63.814911,80.242305,89.310115,70.587752,50.72726,44.851362
Lesotho,Country/Area,2022,24.816756,35.915451,30.992706,44.600243,38.643196,40.496716,72.701609,36.553032,31.178165,46.589968,32.138328,30.204461,40.98141,36.897039,43.878508,59.410803,41.253874,34.364871,41.968003,20.902824,21.441731,30.575943,38.253288,35.853225,32.494056,48.273657,41.013196,50.425215,21.088606,54.824223,29.303259,28.469587,53.485792,58.379736,56.807532,58.545319,71.022875,73.626051,66.316994,75.533776,87.375322,77.808263,84.739692,87.47962,82.345491,50.79519,48.192201
Namibia,Country/Area,2022,1.00346,33.826426,31.019649,51.101465,39.366027,45.833333,51.711301,36.837912,31.150474,48.356464,35.22924,36.802974,40.737658,36.689048,43.574793,48.994687,50.060708,41.24364,51.314796,25.762054,24.341679,37.96719,35.739778,30.755967,32.169116,34.95844,21.628118,40.181331,21.050141,41.486667,29.603629,28.441528,42.879619,46.703153,44.610839,47.460305,62.254262,68.056364,54.581724,63.704296,79.095521,62.013703,75.40218,83.170673,69.594633,50.792799,48.35996
South Africa,Country/Area,2022,16.025281,49.531044,31.859319,36.928629,65.594685,38.115764,88.469392,68.862296,32.60673,36.593731,24.768578,24.4114,93.803359,89.464003,99.056233,51.287668,56.058753,47.690977,55.31964,33.083542,34.81812,42.826382,41.964923,38.407242,36.753099,53.005115,46.51618,53.130893,21.621314,40.912271,58.846166,28.906814,41.860056,42.577521,39.519685,43.940702,54.147624,57.2829,49.670788,51.931606,63.120539,54.083093,63.271791,66.959569,63.385366,53.244918,51.183172
